M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Amanda Nunes,27,7130,4,4,0,2360.0,1,0,1,0,455.0,529,1032,736,1289,22,38,327,728,74,117,128,187,346,727,42,66,141,239,299,714,513,958,1,22,158,532,53,73,88,109,203,575,69,100,27,39,9
Amanda Ribas,6,1471,0,3,0,446.0,0,0,0,1,128.0,101,254,164,323,5,8,57,199,29,38,15,17,85,229,7,8,9,17,30,175,72,218,0,6,21,157,6,13,3,5,26,169,2,3,2,3,3
Andrea Lee,15,4500,0,3,0,1014.0,2,0,2,1,660.0,405,832,498,938,7,18,166,520,143,197,96,115,312,711,60,73,33,48,285,832,418,987,12,31,174,653,52,105,59,74,255,783,27,36,3,13,3
Angela Hill,29,8446,2,1,0,720.0,7,0,1,0,1129.0,820,1688,887,1765,4,6,518,1276,221,317,81,95,649,1449,131,179,40,60,848,2175,977,2319,10,41,509,1687,186,303,153,185,704,1926,121,223,23,26,3
Anthony Pettis,44,12504,5,12,7,1080.0,9,2,2,2,4248.0,658,1446,982,1791,4,12,454,1148,129,206,75,92,552,1304,57,82,49,60,823,1735,1206,2174,37,84,442,1234,196,280,185,221,595,1395,140,196,88,144,7
Anthony Smith,29,7874,3,4,1,446.0,5,3,0,0,3569.0,391,787,468,869,4,15,267,616,78,121,46,50,317,687,53,72,21,28,587,968,1109,1529,16,31,363,702,102,136,122,130,311,622,70,100,206,246,5
Antonina Shevchenko,13,3582,0,3,2,458.0,2,0,4,2,1410.0,244,447,332,553,2,2,159,342,66,86,19,19,141,313,76,96,27,38,159,357,423,647,10,20,110,291,27,38,22,28,77,253,22,31,60,73,3
Arnold Allen,15,4301,1,2,0,853.0,0,0,3,1,744.0,251,571,318,645,9,17,187,483,44,59,20,29,213,512,11,25,27,34,149,458,258,590,6,35,96,382,31,51,22,25,118,415,21,33,10,10,5
Askar Askarov,6,1800,0,0,1,556.0,0,0,0,0,259.0,114,213,140,239,2,22,88,184,5,6,21,23,91,181,13,15,10,17,79,173,126,228,4,13,32,107,30,43,17,23,65,150,13,22,1,1,2
Aspen Ladd,7,1575,0,3,0,733.0,1,1,0,0,374.0,145,262,189,315,4,5,119,231,21,26,5,5,47,122,29,41,69,99,131,249,149,268,2,6,72,182,48,54,11,13,74,176,52,67,5,6,3
